date,district_id,state,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,new_unspecified_cases,cumulative_unspecified_cases,source,district_name,latitude,longitude,county_name,street_address,city,zip_code,phone,student_count,teacher_count,school_count
2020-10-14,0502250,AR,,30,,12,13,0,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,ALMA SCHOOL DISTRICT,35.479474,-94.219508,Crawford County,P O BOX 2359,ALMA,72921,(479)632-4791,3244,266,4
2020-09-25,0502790,AR,,,,,,5,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,BAUXITE SCHOOL DISTRICT,34.553877,-92.510814,Saline County,800 SCHOOL ST,BAUXITE,72011,(501)557-5453,1718,127,4
2020-09-25,0502880,AR,,,,,6,20,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,BEEBE SCHOOL DISTRICT,35.066964,-91.896496,White County,1201 W CENTER ST,BEEBE,72012,(501)882-5463,3375,252,5
2020-09-25,0502960,AR,,,,,5,21,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,BENTON SCHOOL DISTRICT,34.577985,-92.57567,Saline County,P O BOX 939,BENTON,72018,(501)778-4861,5645,375,7
2020-09-25,0503060,AR,11,50,4,15,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,BENTONVILLE SCHOOL DISTRICT,36.386132,-94.21476,Benton County,500 TIGER BLVD,BENTONVILLE,72712,(479)254-5000,17225,1147,22
2020-10-14,0503060,AR,,78,,26,14,1,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,BENTONVILLE SCHOOL DISTRICT,36.386132,-94.21476,Benton County,500 TIGER BLVD,BENTONVILLE,72712,(479)254-5000,17225,1147,22
2020-09-25,0503090,AR,,11,,7,,7,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,BERGMAN SCHOOL DISTRICT,36.31259,-93.01346,Boone County,P O BOX 1,BERGMAN,72615,(870)741-5213,1174,95,3
2020-09-25,0503150,AR,6,27,1,11,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,BERRYVILLE SCHOOL DISTRICT,36.37499,-93.582165,Carroll County,902 W TRIMBLE,BERRYVILLE,72616,(870)423-7065,1929,160,4
2020-09-25,0503640,AR,,,,,,15,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,BROOKLAND SCHOOL DISTRICT,35.907615,-90.582418,Craighead County,200 W SCHOOL ST,BROOKLAND,72417,(870)932-2080,2709,175,4
2020-10-14,0503640,AR,,,,,9,30,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,BROOKLAND SCHOOL DISTRICT,35.907615,-90.582418,Craighead County,200 W SCHOOL ST,BROOKLAND,72417,(870)932-2080,2709,175,4
2020-09-25,0503690,AR,,46,,8,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,BRYANT SCHOOL DISTRICT,34.599804,-92.492089,Saline County,200 NW FOURTH ST,BRYANT,72022,(501)847-5600,9277,581,12
2020-10-14,0503690,AR,,64,,18,11,1,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,BRYANT SCHOOL DISTRICT,34.599804,-92.492089,Saline County,200 NW FOURTH ST,BRYANT,72022,(501)847-5600,9277,581,12
2020-09-25,0503750,AR,4,37,3,10,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,CABOT SCHOOL DISTRICT,34.975181,-92.006639,Lonoke County,602 N LINCOLN,CABOT,72023,(501)843-3363,10624,644,16
2020-09-25,0504110,AR,,,,,,13,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,GENOA CENTRAL SCHOOL DISTRICT,33.373445,-93.873116,Miller County,12472 ST HWY 196,TEXARKANA,71854,(870)653-4343,1176,83,3
2020-09-25,0504170,AR,,,,,,1,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,WHITE CO. CENTRAL SCHOOL DIST.,35.357683,-91.676321,White County,3259 HWY 157,JUDSONIA,72081,(501)729-3992,794,87,2
2020-09-25,0504410,AR,,,,,,30,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,CLINTON SCHOOL DISTRICT,35.587467,-92.4606,Van Buren County,683 POPLAR ST,CLINTON,72031,(501)745-6000,1346,107,3
2020-09-25,0504590,AR,3,47,5,10,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,CONWAY SCHOOL DISTRICT,35.092157,-92.457579,Faulkner County,2220 PRINCE ST,CONWAY,72034,(501)450-4800,10255,623,19
2020-10-14,0504590,AR,,81,,14,22,0,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,CONWAY SCHOOL DISTRICT,35.092157,-92.457579,Faulkner County,2220 PRINCE ST,CONWAY,72034,(501)450-4800,10255,623,19
2020-10-14,0504800,AR,,12,,7,7,0,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,CROSSETT SCHOOL DISTRICT,33.132692,-91.961487,Ashley County,219 MAIN,CROSSETT,71635,(870)364-3112,1747,123,3
2020-09-25,0504860,AR,,,,,,5,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,CUTTER-MORNING STAR SCH. DIST.,34.502865,-92.9901,Garland County,2801 SPRING ST,HOT SPRINGS,71901,(501)262-2414,650,53,2
2020-09-25,0504930,AR,,,,,6,15,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,DARDANELLE SCHOOL DISTRICT,35.227604,-93.160798,Yell County,209 CEDAR ST,DARDANELLE,72834,(479)229-4111,2167,179,4
2020-10-14,0504930,AR,,,,,9,28,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,DARDANELLE SCHOOL DISTRICT,35.227604,-93.160798,Yell County,209 CEDAR ST,DARDANELLE,72834,(479)229-4111,2167,179,4
2020-09-25,0505410,AR,,,,,9,24,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,DOLLARWAY SCHOOL DISTRICT,34.240755,-92.055597,Jefferson County,4900 DOLLARWAY RD,PINE BLUFF,71602,(870)534-7003,1047,86,3
2020-09-25,0505500,AR,3,13,3,6,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,DUMAS SCHOOL DISTRICT,33.886111,-91.485407,Desha County,213 ADAMS ST,DUMAS,71639,(870)382-4571,1259,115,4
2020-10-14,0505500,AR,,31,,13,12,0,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,DUMAS SCHOOL DISTRICT,33.886111,-91.485407,Desha County,213 ADAMS ST,DUMAS,71639,(870)382-4571,1259,115,4
2020-09-25,0506120,AR,,,,,5,37,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,FAYETTEVILLE SCHOOL DISTRICT,36.059559,-94.174022,Washington County,1000 W STONE ST,FAYETTEVILLE,72701,(479)444-3000,10334,705,16
2020-10-14,0506120,AR,,66,,7,15,0,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,FAYETTEVILLE SCHOOL DISTRICT,36.059559,-94.174022,Washington County,1000 W STONE ST,FAYETTEVILLE,72701,(479)444-3000,10334,705,16
2020-10-22,0506120,AR,,73,,19,,,https://datastudio.google.com/u/0/reporting/19418ae2-8ee9-4939-a328-16e1046672de/page/phIcB,FAYETTEVILLE SCHOOL DISTRICT,36.059559,-94.174022,Washington County,1000 W STONE ST,FAYETTEVILLE,72701,(479)444-3000,10334,705,16
2020-09-25,0506240,AR,,6,,0,,5,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,FOREMAN SCHOOL DISTRICT,33.721085,-94.39578,Little River County,P O BOX 480,FOREMAN,71836,(870)542-7211,526,48,2
2020-09-25,0506270,AR,2,27,2,8,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,FORREST CITY SCHOOL DISTRICT,35.01648,-90.788534,St. Francis County,845 N ROSSER,FORREST CITY,72335,(870)633-1485,2531,167,5
2020-09-25,0506330,AR,8,135,3,26,,,https://www.healthy.arkansas.gov/images/uploads/pdf/School_Report_09242020_(002).pdf,FORT SMITH SCHOOL DISTRICT,35.384465,-94.421095,Sebastian County,P O BOX 1948,FORT SMITH,72902,(479)785-2501,14701,1045,26
2020-10-14,0506330,AR,,179,,35,17,2,https://www.healthy.arkansas.gov/programs-services/topics/covid-19-reports,FORT SMITH SCHOOL DISTRICT,35.384465,-94.421095,Sebastian County,P O BOX 1948,FORT SMITH,72902,(479)785-2501,14701,1045,26
