x,y,district_id,State District ID,district_name,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type,Last update,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,Link
61.52956,-165.594,200005,AK-55,Kashunamiut School District,Kusilvak Census Area,PO Box 345,Chevak,AK,99563,,(907)858-7713,328,24.11,1,43,Rural: Remote,13.6,Regular School District,,0,0,0,0,,,
59.98367,-151.723,200390,AK-24,Kenai Peninsula Borough School District,Kenai Peninsula Borough,148 N Binkley St,Soldotna,AK,99669,,(907)714-8888,8852,579.37,43,43,Rural: Remote,15.3,Regular School District,,0,0,0,0,,,https://covid19.kpbsd.org/dashboard
55.44994,-131.107,200150,AK-25,Ketchikan Gateway Borough School District,Ketchikan Gateway Borough,333 Schoenbar Rd,Ketchikan,AK,99901,6278,(907)247-2109,2314,155.8,9,33,Town: Remote,14.9,Regular School District,,0,0,0,0,,,
55.55643,-133.086,200450,AK-27,Klawock City School District,Prince of Wales-Hyder Census Area,PO Box 9,Klawock,AK,99925,9,(907)755-2917,116,14.31,1,43,Rural: Remote,8.1,Regular School District,,,,,,,,
57.7044,-153.918,200480,AK-28,Kodiak Island Borough School District,Kodiak Island Borough,722 Mill Bay Rd,Kodiak,AK,99615,,(907)486-7550,2370,152.88,12,33,Town: Remote,15.5,Regular School District,,,,,,,6,https://kiborough.maps.arcgis.com/apps/opsdashboard/index.html#/25d4e24efaae4dc59c727e3fc30d32ae
61.52355,-158.036,200760,AK-29,Kuspuk School District,Bethel Census Area,PO Box 49,Aniak,AK,99557,49,(907)675-4250,399,,9,43,Rural: Remote,†,Regular School District,,,,,,,,
58.10851,-156.413,200485,AK-30,Lake and Peninsula Borough School District,Bristol Bay Borough,PO Box 498,King Salmon,AK,99613,,(907)246-4280,358,44.85,13,43,Rural: Remote,8,Regular School District,,,,,,,,
60.21332,-163.435,200001,AK-31,Lower Kuskokwim School District,Bethel Census Area,PO Box 305,Bethel,AK,99559,305,(907)543-4912,4249,285.54,29,43,Rural: Remote,14.9,Regular School District,,,,,,,,https://www.lksd.org/news/bethel_schools_move_to_high_risk
62.28359,-163.19,200003,AK-32,Lower Yukon School District,Kusilvak Census Area,PO Box 32089,Mountain Village,AK,99632,89,(907)591-2411,2006,139.14,10,43,Rural: Remote,14.4,Regular School District,,,,,,,,
62.27909,-149.619,200510,AK-33,Matanuska-Susitna Borough School District,Matanuska-Susitna Borough,501 N Gulkana St,Palmer,AK,99645,,(907)746-9255,18828,988.38,47,32,Town: Distant,19,Regular School District,,,,,,1,1,https://www.matsuk12.us/coronavirus
57.05322,-135.350471,200006,AK-98,Mount Edgecumbe High School Agency,Sitka City and Borough,1330 Seward Ave,Sitka,AK,99835,9438,(907)966-3201,434,23.8,1,41,Rural: Fringe,18.2,State District,,,,,,,,
64.53605,-149.084,200540,AK-34,Nenana City School District,Yukon-Koyukuk Census Area,PO Box 10,Nenana,AK,99760,10,(907)832-5464,1312,23.13,2,43,Rural: Remote,56.7,Regular School District,,,,,,,,
64.50574,-165.415,200570,AK-35,Nome Public Schools,Nome Census Area,PO Box 131,Nome,AK,99762,131,(907)443-2231,700,51.99,4,33,Town: Remote,13.5,Regular School District,,,,,,,,
69.44934,-153.473,200610,AK-36,North Slope Borough School District,North Slope Borough,PO Box 169,Utqiagvik,AK,99723,169,(907)852-5311,2195,166.05,11,43,Rural: Remote,13.2,Regular School District,,,,,,,,
67.00507,-160.021,200625,AK-37,Northwest Arctic Borough School District,Northwest Arctic Borough,PO Box 51,Kotzebue,AK,99752,,(907)442-1802,2087,150.99,13,43,Rural: Remote,13.8,Regular School District,,,,,,,,
57.95923,-136.215,200630,AK-38,Pelican City School District,Hoonah-Angoon Census Area,PO Box 90,Pelican,AK,99832,90,(907)735-2236,12,0.77,1,43,Rural: Remote,15.6,Regular School District,,,,,,,,
57.11246,-133.009,200660,AK-39,Petersburg Borough School District,Petersburg Borough,PO Box 289,Petersburg,AK,99833,289,(907)526-7656,465,32.99,3,43,Rural: Remote,14.1,Regular School District,,,,,,,,
57.04951,-170.406,200670,AK-40,Pribilof School District,Aleutians West Census Area,PO Box 207,St. Paul Island,AK,99660,905,(907)546-3327,80,4.45,2,43,Rural: Remote,18,Regular School District,,,,,,,,
62.06278,-163.244,200680,AK-46,Saint Mary's School District,Kusilvak Census Area,PO Box 9,Saint Mary's,AK,99658,9,(907)438-2411,199,14,1,43,Rural: Remote,14.2,Regular School District,,,,,,,,
57.1932,-135.367,200240,AK-42,Sitka School District,Sitka City and Borough,300 Kostrometinoff St,Sitka,AK,99835,179,(907)747-8622,1218,97.54,6,33,Town: Remote,12.5,Regular School District,,,,,,,,
59.56038,-135.338,200690,AK-43,Skagway School District,Skagway Municipality,PO Box 497,Skagway,AK,99840,497,(907)983-2960,141,13.7,1,43,Rural: Remote,10.3,Regular School District,,,,,,,,
55.72925,-133.224,200700,AK-44,Southeast Island School District,Prince of Wales-Hyder Census Area,PO Box 19569,Thorne Bay,AK,99919,8340,(907)828-8254,191,19.06,9,43,Rural: Remote,10,Regular School District,,,,,,,,
59.54333,-158.267,200710,AK-45,Southwest Region School District,Dillingham Census Area,PO Box 90,Dillingham,AK,99576,,(907)842-5287,602,58.95,8,43,Rural: Remote,10.2,Regular School District,,,,,,,,
65.184,-152.055,200715,AK-53,Tanana City School District,Yukon-Koyukuk Census Area,PO Box 89,Tanana,AK,99777,89,(907)366-7203,51,4,1,43,Rural: Remote,12.8,Regular School District,,,,,,,,
53.9101,-166.528,200720,AK-47,Unalaska City School District,Aleutians West Census Area,PO Box 570,Unalaska,AK,99685,,(907)581-3151,418,29.8,2,43,Rural: Remote,14,Regular School District,,,,,,,,
61.08362,-146.317,200780,AK-48,Valdez City School District,Valdez-Cordova Census Area,PO Box 398,Valdez,AK,99686,,(907)835-4357,686,52.08,4,43,Rural: Remote,13.2,Regular School District,,,,,,,,
56.31742,-132.344,200810,AK-49,Wrangell Public School District,Wrangell City and Borough,PO Box 2319,Wrangell,AK,99929,2319,(907)874-2347,303,24.01,3,43,Rural: Remote,12.6,Regular School District,,,,,,,,
60.01745,-140.417,200840,AK-50,Yakutat School District,Yakutat City and Borough,PO Box 429,Yakutat,AK,99689,429,(907)784-3317,87,6.4,2,43,Rural: Remote,13.6,Regular School District,,,,,,,,
66.71969,-145.259,200775,AK-51,Yukon Flats School District,Yukon-Koyukuk Census Area,PO Box 350,Fort Yukon,AK,99740,350,(907)662-2515,217,24,7,43,Rural: Remote,9,Regular School District,,,,,,,,
65.63448,-154.325,200862,AK-52,Yukon-Koyukuk School District,Fairbanks North Star Borough,4762 Old Airport Way,Fairbanks,AK,99709,4456,(907)374-9416,1982,52.18,11,23,Suburb: Small,38,Regular School District,,,,,,,,
60.89563,-161.419,200004,AK-54,Yupiit School District,Bethel Census Area,PO Box 51190,Akiachak,AK,99551,190,(907)825-3600,437,32.85,3,43,Rural: Remote,13.3,Regular School District,,,,,,,,
-86.10269,33.43451,100009,AL-600,Al Inst Deaf And Blind,Talladega County,PO Box 698,Talladega,AL,35161,698,(256)761-3200,<Null>,0,5,32,Town: Distant,<Null>,Regular School District,,,,,,,,
-86.813096,33.521224,100018,AL-207,Alabama School of Fine Arts,Jefferson County,1800 Rev Abraham Woods Jr Blvd,Birmingham,AL,35203,<Null>,(205)252-9241,<Null>,0,0,12,City: Midsize,<Null>,Regular School District,,,,,,,,
-86.09341,32.36545,100002,AL-210,Alabama Youth Services,Jefferson County,PO Box 66,Mount Meigs,AL,36057,66,(334)215-3859,<Null>,0,0,21,Suburb: Large,<Null>,Regular School District,,,,,,,,
-86.82417,33.226114,100190,AL-103,Alabaster City,Shelby County,10111 Highway 119,Alabaster,AL,35007,<Null>,(205)663-8400,6184,341.85,5,21,Suburb: Large,18.1,Regular School District,,,,,,,,
-86.20939,34.268086,100005,AL-101,Albertville City,Marshall County,107 W Main St,Albertville,AL,35950,1625,(256)891-1183,5636,295.5,6,32,Town: Distant,19.1,Regular School District,,,,,,,,
-85.958438,32.94113,100030,AL-102,Alexander City,Tallapoosa County,375 Lee St,Alexander City,AL,35010,2708,(256)234-5074,3065,176.52,5,32,Town: Distant,17.4,Regular School District,,,,,,,,
-86.483488,31.327783,100060,AL-104,Andalusia City,Covington County,1201 C C Baker Avenue,Andalusia,AL,36421,2101,(334)222-3186,1794,98.24,3,33,Town: Remote,18.3,Regular School District,,,,,,,,
-85.8265,33.65876,100090,AL-105,Anniston City,Calhoun County,PO Box 1500,Anniston,AL,36202,1500,(256)231-5000,1947,110.5,7,13,City: Small,17.6,Regular School District,,,,,,,,
-86.488256,34.327719,100100,AL-106,Arab City,Marshall County,750 Arabian Dr NE,Arab,AL,35016,1161,(256)586-6011,2632,160.9,4,41,Rural: Fringe,16.4,Regular School District,,,,,,,,
-86.946778,34.81388,100120,AL-107,Athens City,Limestone County,455 US Highway 31 North,Athens,AL,35611,2653,(256)233-6600,4284,213.26,8,31,Town: Fringe,20.1,Regular School District,,,,,,,,
-86.108227,33.998694,100180,AL-109,Attalla City,Etowah County,101 Case Ave,Attalla,AL,35954,3404,(256)459-7017,1526,94,3,23,Suburb: Small,16.2,Regular School District,,,,,,,,
-85.47712,32.61253,100210,AL-110,Auburn City,Lee County,PO Box 3270,Auburn,AL,36831,3270,(334)887-2100,8738,499,13,13,City: Small,17.5,Regular School District,,,,,,,,
-86.473537,32.462911,100240,AL-001,Autauga County,Autauga County,153 W 4th St,Prattville,AL,36067,3011,(334)365-5706,9094,490,15,41,Rural: Fringe,18.6,Regular School District,,,,,,,,
-87.787828,30.912007,100270,AL-002,Baldwin County,Baldwin County,2600 North Hand Ave,Bay Minette,AL,36507,4180,(251)937-0308,32267,1790.2,44,41,Rural: Fringe,18,Regular School District,,,,,,,,
-85.447909,31.87729,100300,AL-003,Barbour County,Barbour County,PO Box 429,Clayton,AL,36016,429,(334)367-8280,755,45,3,43,Rural: Remote,16.8,Regular School District,,,,,,,,
-86.96125,33.39503,100330,AL-113,Bessemer City,Jefferson County,PO Box 1230,Bessemer,AL,35021,1230,(205)432-3000,3618,184.5,9,21,Suburb: Large,19.6,Regular School District,,,,,,,,
-87.124181,32.945928,100360,AL-004,Bibb County,Bibb County,721 Walnut Street,Centreville,AL,35042,2277,(205)926-9881,3236,183.25,9,32,Town: Distant,17.7,Regular School District,,,,,,,,
-86.80192,33.51961,100390,AL-114,Birmingham City,Jefferson County,PO Box 10007,Birmingham,AL,35202,7,(205)231-4220,23041,1250.33,51,12,City: Midsize,18.4,Regular School District,,,,,,,,
-86.47434,33.945305,100420,AL-005,Blount County,Blount County,PO Box 578,Oneonta,AL,35121,7,(205)775-1950,7651,437.48,17,42,Rural: Distant,17.5,Regular School District,,,,,,,,
-86.15989,34.212847,100012,AL-115,Boaz City,Marshall County,126 Newt Parker Dr,Boaz,AL,35957,<Null>,(256)593-8180,2427,137.33,5,32,Town: Distant,17.7,Regular School District,,,,,,,,
-87.07236,31.11757,100450,AL-116,Brewton City,Escambia County,811 Belleville Ave,Brewton,AL,36426,1754,(251)867-8400,1133,70.84,3,32,Town: Distant,16,Regular School District,,,,,,,,
-85.71344,32.145205,100480,AL-006,Bullock County,Bullock County,PO Box 231,Union Springs,AL,36089,231,(334)513-1416,1438,84,4,32,Town: Distant,17.1,Regular School District,,,,,,,,
-86.628683,31.815256,100510,AL-007,Butler County,Butler County,211 School Highlands Rd,Greenville,AL,36037,3213,(334)382-2665,3015,153.5,7,32,Town: Distant,19.6,Regular School District,,,,,,,,
-85.8265,33.65876,100540,AL-008,Calhoun County,Calhoun County,PO Box 2084,Anniston,AL,36202,2084,(256)741-7400,8548,489,19,41,Rural: Fringe,17.5,Regular School District,,,,,,,,
-85.39988,32.897519,100600,AL-009,Chambers County,Chambers County,Box 408,Lafayette,AL,36862,408,(334)864-9343,3545,206.11,11,32,Town: Distant,17.2,Regular School District,,,,,,,,
-85.67843,34.151744,100630,AL-010,Cherokee County,Cherokee County,130 E Main St,Centre,AL,35960,1599,(256)927-3362,3934,235.03,8,42,Rural: Distant,16.7,Regular School District,,,,,,,,
-88.083642,30.766337,100188,AL-121,Chickasaw City,Mobile County,P O Box 11493,Chickasaw,AL,36611,<Null>,(251)452-2256,1154,56.4,3,21,Suburb: Large,20.5,Regular School District,,,,,,,,
-86.621652,32.868585,100660,AL-011,Chilton County,Chilton County,1705 Lay Dam Rd,Clanton,AL,35045,2032,(205)280-3000,7837,415.73,14,42,Rural: Distant,18.9,Regular School District,,,,,,,,
-88.233042,32.079642,100690,AL-012,Choctaw County,Choctaw County,107 Tom Orr Dr,Butler,AL,36904,3504,(205)459-3031,1300,76,4,43,Rural: Remote,17.1,Regular School District,,,,,,,,
-87.772135,31.705365,100720,AL-013,Clarke County,Clarke County,Box 936,Grove Hill,AL,36451,936,(251)250-2155,2460,148.8,7,43,Rural: Remote,16.5,Regular School District,,,,,,,,
-85.839,33.27348,100750,AL-014,Clay County,Clay County,PO Box 278,Ashland,AL,36251,278,(256)396-1475,1868,106.37,4,42,Rural: Distant,17.6,Regular School District,,,,,,,,
-85.57528,33.64831,100780,AL-015,Cleburne County,Cleburne County,PO Box 8,Heflin,AL,36264,2207,(256)463-5624,2512,152.8,9,42,Rural: Distant,16.4,Regular School District,,,,,,,,
-86.056396,31.410123,100810,AL-016,Coffee County,Coffee County,400 Reddoch Hill Rd,Elba,AL,36323,1661,(334)897-5016,2388,127.08,4,42,Rural: Distant,18.8,Regular School District,,,,,,,,
-87.68671,34.71607,100840,AL-017,Colbert County,Colbert County,P O Box 538,Tuscumbia,AL,35674,4563,(256)386-8565,2668,172.57,8,41,Rural: Fringe,15.5,Regular School District,,,,,,,,
-86.969606,31.454859,100870,AL-018,Conecuh County,Conecuh County,1455 Ted Bates Road,Evergreen,AL,36401,2843,(251)578-1752,1941,77.5,8,41,Rural: Fringe,25,Regular School District,,,,,,,,
-86.218155,32.889594,100900,AL-019,Coosa County,Coosa County,PO Box 37,Rockford,AL,35136,37,(256)377-4913,857,51.19,3,43,Rural: Remote,16.7,Regular School District,,,,,,,,
-86.481402,31.321522,100930,AL-020,Covington County,Covington County,807 C C Baker Ave,Andalusia,AL,36421,2137,(334)222-7571,3082,193.97,9,42,Rural: Distant,15.9,Regular School District,,,,,,,,
-86.26627,31.70923,100960,AL-021,Crenshaw County,Crenshaw County,183 Votec Dr,Luverne,AL,36049,1705,(334)335-6519,2248,132,4,43,Rural: Remote,17,Regular School District,,,,,,,,
-86.840652,34.179101,100990,AL-125,Cullman City,Cullman County,301 1st St NE,Cullman,AL,35055,3542,(256)775-5803,3201,177.05,7,32,Town: Distant,18.1,Regular School District,,,,,,,,
-86.84792,34.17033,101020,AL-022,Cullman County,Cullman County,PO Box 1590,Cullman,AL,35056,1590,(256)734-2933,9468,531.9,28,42,Rural: Distant,17.8,Regular School District,,,,,,,,
-85.619269,31.425394,101050,AL-023,Dale County,Dale County,202 S Hwy 123 Suite E,Ozark,AL,36360,<Null>,(334)774-2355,3189,174.87,8,42,Rural: Distant,18.2,Regular School District,,,,,,,,
-85.711139,31.315593,101080,AL-126,Daleville City,Dale County,626 N Daleville Ave,Daleville,AL,36322,2006,(334)598-2456,1087,60.84,2,32,Town: Distant,17.9,Regular School District,,,,,,,,
-87.02282,32.41279,101110,AL-024,Dallas County,Dallas County,PO Box 1056,Selma,AL,36702,1056,(334)875-3440,3027,189,12,42,Rural: Distant,16,Regular School District,,,,,,,,
-86.98205,34.605873,101170,AL-127,Decatur City,Morgan County,302 4th Ave NE,Decatur,AL,35601,1972,(256)552-3000,8699,542.5,20,13,City: Small,16,Regular School District,,,,,,,,
-85.84206,34.50092,101140,AL-025,DeKalb County,DeKalb County,PO Box 1668,Rainsville,AL,35986,1668,(256)638-6921,8835,553.64,16,42,Rural: Distant,16,Regular School District,,,,,,,,
-87.835195,32.51412,101200,AL-128,Demopolis City,Marengo County,PO Drawer 759,Demopolis,AL,36732,759,(334)289-1670,2216,133.61,4,33,Town: Remote,16.6,Regular School District,,,,,,,,
-85.435123,31.204963,101230,AL-130,Dothan City,Houston County,1665 Honeysuckle Road,DOTHAN,AL,36305,2500,(334)793-1397,8967,481,16,13,City: Small,18.6,Regular School District,,,,,,,,
-86.101899,31.42302,101260,AL-131,Elba City,Coffee County,131 Tiger Dr,Elba,AL,36323,4025,(334)897-2801,622,39,3,43,Rural: Remote,15.9,Regular School District,,,,,,,,
-86.23195,32.56369,101290,AL-026,Elmore County,Elmore County,100 H H Robison Dr,Wetumpka,AL,36092,5701,(334)567-1200,11433,597,15,21,Suburb: Large,19.2,Regular School District,,,,,,,,
-85.85462,31.31516,101320,AL-132,Enterprise City,Coffee County,PO Box 311790,Enterprise,AL,36331,1790,(334)347-9531,6723,348,10,32,Town: Distant,19.3,Regular School District,,,,,,,,
-87.07168,31.10441,101350,AL-027,Escambia County,Escambia County,PO Box 307,Brewton,AL,36427,307,(251)867-6251,4234,262.6,12,32,Town: Distant,16.1,Regular School District,,,,,,,,
-86.055559,34.022263,101380,AL-028,Etowah County,Etowah County,3200 W Meighan Blvd,Gadsden,AL,35904,1732,(256)549-7560,8486,505.23,24,23,Suburb: Small,16.8,Regular School District,,,,,,,,
-85.151312,31.868273,101410,AL-133,Eufaula City,Barbour County,333 State Docks Rd,Eufaula,AL,36027,3317,(334)687-1100,5427,148.5,6,32,Town: Distant,36.5,Regular School District,,,,,,,,
-86.915172,33.47442,101440,AL-137,Fairfield City,Jefferson County,6405 Avenue D,Fairfield,AL,35064,110,(205)783-6850,1549,77.31,6,21,Suburb: Large,20,Regular School District,,,,,,,,
-87.83249,33.689365,101470,AL-029,Fayette County,Fayette County,PO Box 686,Fayette,AL,35555,686,(205)932-4611,2302,134.6,6,42,Rural: Distant,17.1,Regular School District,,,,,,,,
-87.67545,34.802035,101530,AL-141,Florence City,Lauderdale County,P O Box 10,Florence,AL,35631,<Null>,(256)768-3000,4254,265.35,9,13,City: Small,16,Regular School District,,,,,,,,
-85.76957,34.48327,101560,AL-143,Fort Payne City,DeKalb County,PO Box 681029,Fort Payne,AL,35968,1611,(256)845-0915,3249,185.35,4,32,Town: Distant,17.5,Regular School District,,,,,,,,
-87.72888,34.50779,101590,AL-030,Franklin County,Franklin County,PO Box 610,Russellville,AL,35653,610,(256)332-1360,3674,233.27,10,42,Rural: Distant,15.7,Regular School District,,,,,,,,
-86.008805,34.014035,101620,AL-144,Gadsden City,Etowah County,PO Box 184,Gadsden,AL,35902,184,(256)543-3512,5194,312.74,15,13,City: Small,16.6,Regular School District,,,,,,,,
-85.879262,31.042513,101640,AL-146,Geneva City,Geneva County,511 Panther Dr,Geneva,AL,36340,1407,(334)684-1090,1249,83,3,32,Town: Distant,15,Regular School District,,,,,,,,
-85.879952,31.044267,101660,AL-031,Geneva County,Geneva County,PO Box 250,Geneva,AL,36340,250,(334)684-5690,2750,156,10,42,Rural: Distant,17.6,Regular School District,,,,,,,,
-87.88918,32.841086,101680,AL-032,Greene County,Greene County,220 Main St,Eutaw,AL,35462,1002,(205)372-4900,1054,64.5,5,42,Rural: Distant,16.3,Regular School District,,,,,,,,
-87.688785,30.27452,100202,AL-152,Gulf Shores City,<Null>,PO Box 3908,Gulf Shores,AL,36547,<Null>,(251)968-9873,<Null>,<Null>,3,<Null>,<Null>,<Null>,Regular School District,,,,,,,,
-86.304075,34.34915,101690,AL-154,Guntersville City,Marshall County,PO Box 129,Guntersville,AL,35976,129,(256)582-3159,1871,109,4,32,Town: Distant,17.2,Regular School District,,,,,,,,
-87.593801,32.707324,101710,AL-033,Hale County,Hale County,1115 Powers St,Greensboro,AL,36744,1219,(334)624-8836,2488,135.5,7,31,Town: Fringe,18.4,Regular School District,,,,,,,,
-87.608012,34.226182,101720,AL-155,Haleyville City,Winston County,2011 20th St,Haleyville,AL,35565,1959,(205)486-9231,1619,100.95,4,41,Rural: Fringe,16,Regular School District,,,,,,,,
-86.931374,34.446424,101730,AL-156,Hartselle City,Morgan County,305 College St NE,Hartselle,AL,35640,1938,(256)773-5419,3469,210.22,6,23,Suburb: Small,16.5,Regular School District,,,,,,,,
-85.251934,31.567531,101740,AL-034,Henry County,Henry County,300 N Trawick St,Abbeville,AL,36310,<Null>,(334)585-2206,2466,142,6,42,Rural: Distant,17.4,Regular School District,,,,,,,,
-86.808326,33.477141,101760,AL-157,Homewood City,Jefferson County,450 Dale Avenue,Homewood,AL,35209,3401,(205)870-4203,4292,300.02,5,21,Suburb: Large,14.3,Regular School District,,,,,,,,
-86.765964,33.406586,100007,AL-158,Hoover City,Jefferson County,2810 Metropolitan Way,Birmingham,AL,35243,2944,(205)439-1015,13952,943.68,18,13,City: Small,14.8,Regular School District,,,,,,,,
-85.396699,31.220717,101770,AL-035,Houston County,Houston County,404 W Washington St,Dothan,AL,36301,2540,(334)792-8331,6418,359.25,12,41,Rural: Fringe,17.9,Regular School District,,,,,,,,
-86.61621,34.72007,101800,AL-159,Huntsville City,Madison County,PO Box 1256,Huntsville,AL,35807,4801,(256)428-6810,23993,1433.57,46,12,City: Midsize,16.7,Regular School District,,,,,,,,
-86.033305,34.66737,101830,AL-036,Jackson County,Jackson County,PO Box 490,Scottsboro,AL,35768,490,(256)259-9500,5337,308.39,18,42,Rural: Distant,17.3,Regular School District,,,,,,,,
-85.76527,33.814784,101860,AL-162,Jacksonville City,Calhoun County,123 College St SW,Jacksonville,AL,36265,2165,(256)782-5682,1622,96.5,2,13,City: Small,16.8,Regular School District,,,,,,,,
-87.277625,33.83424,101890,AL-163,Jasper City,Walker County,PO Box 500,Jasper,AL,35502,500,(205)384-6880,2754,159.6,5,32,Town: Distant,17.3,Regular School District,,,,,,,,
-86.792646,33.487006,101920,AL-037,Jefferson County,Jefferson County,2100 18th St S,Birmingham,AL,35209,1891,(205)379-2000,36246,2014.06,58,21,Suburb: Large,18,Regular School District,,,,,,,,
-88.1065,33.7538,101950,AL-038,Lamar County,Lamar County,PO Box 1379,Vernon,AL,35592,1379,(205)695-7615,2290,132.94,5,43,Rural: Remote,17.2,Regular School District,,,,,,,,
-85.191231,32.868201,101980,AL-165,Lanett City,Chambers County,105 North Lanier Ave,Lanett,AL,36863,2013,(334)644-5900,925,54.75,3,32,Town: Distant,16.9,Regular School District,,,,,,,,
