district_id,state,district_name,longitude,latitude,State District ID,County Name*,Street Address,City,ZIP,ZIP 4-digit,Phone,Students,Teachers,Schools,Locale Code,Locale,Student Teacher Ratio,Type,Last update,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases,other_new,other_cumulative,Link
200300,AK,Hoonah City School District,-135.431,58.12201,AK-19,Hoonah-Angoon Census Area,PO Box 157,Hoonah,99829,157,(907)945-3613,118,10.43,1,43,Rural: Remote,11.3,Regular School District,,0,0,0,0,,,
200330,AK,Hydaburg City School District,-132.82,55.20584,AK-20,Prince of Wales-Hyder Census Area,PO Box 109,Hydaburg,99922,109,(907)285-3491,97,9.5,2,43,Rural: Remote,10.2,Regular School District,,0,0,0,0,,,
200520,AK,Iditarod Area School District,-156.155,62.70455,AK-21,Yukon-Koyukuk Census Area,PO Box 90,McGrath,99627,,(907)524-1221,325,18.26,8,43,Rural: Remote,17.8,Regular School District,,0,0,0,0,,,
200210,AK,Juneau Borough School District,-134.178,58.37291,AK-22,Juneau City and Borough,10014 Crazy Horse Dr,Juneau,99801,,(907)523-1702,4745,285.16,15,33,Town: Remote,16.6,Regular School District,,0,0,0,0,,,
200360,AK,Kake City School District,-133.904,56.97532,AK-23,Prince of Wales-Hyder Census Area,PO Box 450,Kake,99830,,(907)785-3741,104,10.64,1,43,Rural: Remote,9.8,Regular School District,,0,0,0,0,,,
200005,AK,Kashunamiut School District,-165.594,61.52956,AK-55,Kusilvak Census Area,PO Box 345,Chevak,99563,,(907)858-7713,328,24.11,1,43,Rural: Remote,13.6,Regular School District,,0,0,0,0,,,
200390,AK,Kenai Peninsula Borough School District,-151.723,59.98367,AK-24,Kenai Peninsula Borough,148 N Binkley St,Soldotna,99669,,(907)714-8888,8852,579.37,43,43,Rural: Remote,15.3,Regular School District,,0,0,0,0,,,https://covid19.kpbsd.org/dashboard
200150,AK,Ketchikan Gateway Borough School District,-131.107,55.44994,AK-25,Ketchikan Gateway Borough,333 Schoenbar Rd,Ketchikan,99901,6278,(907)247-2109,2314,155.8,9,33,Town: Remote,14.9,Regular School District,,0,0,0,0,,,
200450,AK,Klawock City School District,-133.086,55.55643,AK-27,Prince of Wales-Hyder Census Area,PO Box 9,Klawock,99925,9,(907)755-2917,116,14.31,1,43,Rural: Remote,8.1,Regular School District,,,,,,,,
200480,AK,Kodiak Island Borough School District,-153.918,57.7044,AK-28,Kodiak Island Borough,722 Mill Bay Rd,Kodiak,99615,,(907)486-7550,2370,152.88,12,33,Town: Remote,15.5,Regular School District,,,,,,,6,https://kiborough.maps.arcgis.com/apps/opsdashboard/index.html#/25d4e24efaae4dc59c727e3fc30d32ae
200760,AK,Kuspuk School District,-158.036,61.52355,AK-29,Bethel Census Area,PO Box 49,Aniak,99557,49,(907)675-4250,399,†,9,43,Rural: Remote,†,Regular School District,,,,,,,,
200485,AK,Lake and Peninsula Borough School District,-156.413,58.10851,AK-30,Bristol Bay Borough,PO Box 498,King Salmon,99613,,(907)246-4280,358,44.85,13,43,Rural: Remote,8,Regular School District,,,,,,,,
200001,AK,Lower Kuskokwim School District,-163.435,60.21332,AK-31,Bethel Census Area,PO Box 305,Bethel,99559,305,(907)543-4912,4249,285.54,29,43,Rural: Remote,14.9,Regular School District,,,,,,,,https://www.lksd.org/news/bethel_schools_move_to_high_risk
200003,AK,Lower Yukon School District,-163.19,62.28359,AK-32,Kusilvak Census Area,PO Box 32089,Mountain Village,99632,89,(907)591-2411,2006,139.14,10,43,Rural: Remote,14.4,Regular School District,,,,,,,,
200510,AK,Matanuska-Susitna Borough School District,-149.619,62.27909,AK-33,Matanuska-Susitna Borough,501 N Gulkana St,Palmer,99645,,(907)746-9255,18828,988.38,47,32,Town: Distant,19,Regular School District,,,,,,1,1,https://www.matsuk12.us/coronavirus
200006,AK,Mount Edgecumbe High School Agency,-135.350471,57.05322,AK-98,Sitka City and Borough,1330 Seward Ave,Sitka,99835,9438,(907)966-3201,434,23.8,1,41,Rural: Fringe,18.2,State District,,,,,,,,
200540,AK,Nenana City School District,-149.084,64.53605,AK-34,Yukon-Koyukuk Census Area,PO Box 10,Nenana,99760,10,(907)832-5464,1312,23.13,2,43,Rural: Remote,56.7,Regular School District,,,,,,,,
200570,AK,Nome Public Schools,-165.415,64.50574,AK-35,Nome Census Area,PO Box 131,Nome,99762,131,(907)443-2231,700,51.99,4,33,Town: Remote,13.5,Regular School District,,,,,,,,
200610,AK,North Slope Borough School District,-153.473,69.44934,AK-36,North Slope Borough,PO Box 169,Utqiagvik,99723,169,(907)852-5311,2195,166.05,11,43,Rural: Remote,13.2,Regular School District,,,,,,,,
200625,AK,Northwest Arctic Borough School District,-160.021,67.00507,AK-37,Northwest Arctic Borough,PO Box 51,Kotzebue,99752,,(907)442-1802,2087,150.99,13,43,Rural: Remote,13.8,Regular School District,,,,,,,,
200630,AK,Pelican City School District,-136.215,57.95923,AK-38,Hoonah-Angoon Census Area,PO Box 90,Pelican,99832,90,(907)735-2236,12,0.77,1,43,Rural: Remote,15.6,Regular School District,,,,,,,,
200660,AK,Petersburg Borough School District,-133.009,57.11246,AK-39,Petersburg Borough,PO Box 289,Petersburg,99833,289,(907)526-7656,465,32.99,3,43,Rural: Remote,14.1,Regular School District,,,,,,,,
200670,AK,Pribilof School District,-170.406,57.04951,AK-40,Aleutians West Census Area,PO Box 207,St. Paul Island,99660,905,(907)546-3327,80,4.45,2,43,Rural: Remote,18,Regular School District,,,,,,,,
200680,AK,Saint Mary's School District,-163.244,62.06278,AK-46,Kusilvak Census Area,PO Box 9,Saint Mary's,99658,9,(907)438-2411,199,14,1,43,Rural: Remote,14.2,Regular School District,,,,,,,,
200240,AK,Sitka School District,-135.367,57.1932,AK-42,Sitka City and Borough,300 Kostrometinoff St,Sitka,99835,179,(907)747-8622,1218,97.54,6,33,Town: Remote,12.5,Regular School District,,,,,,,,
200690,AK,Skagway School District,-135.338,59.56038,AK-43,Skagway Municipality,PO Box 497,Skagway,99840,497,(907)983-2960,141,13.7,1,43,Rural: Remote,10.3,Regular School District,,,,,,,,
200700,AK,Southeast Island School District,-133.224,55.72925,AK-44,Prince of Wales-Hyder Census Area,PO Box 19569,Thorne Bay,99919,8340,(907)828-8254,191,19.06,9,43,Rural: Remote,10,Regular School District,,,,,,,,
200710,AK,Southwest Region School District,-158.267,59.54333,AK-45,Dillingham Census Area,PO Box 90,Dillingham,99576,,(907)842-5287,602,58.95,8,43,Rural: Remote,10.2,Regular School District,,,,,,,,
200715,AK,Tanana City School District,-152.055,65.184,AK-53,Yukon-Koyukuk Census Area,PO Box 89,Tanana,99777,89,(907)366-7203,51,4,1,43,Rural: Remote,12.8,Regular School District,,,,,,,,
200720,AK,Unalaska City School District,-166.528,53.9101,AK-47,Aleutians West Census Area,PO Box 570,Unalaska,99685,,(907)581-3151,418,29.8,2,43,Rural: Remote,14,Regular School District,,,,,,,,
200780,AK,Valdez City School District,-146.317,61.08362,AK-48,Valdez-Cordova Census Area,PO Box 398,Valdez,99686,,(907)835-4357,686,52.08,4,43,Rural: Remote,13.2,Regular School District,,,,,,,,
200810,AK,Wrangell Public School District,-132.344,56.31742,AK-49,Wrangell City and Borough,PO Box 2319,Wrangell,99929,2319,(907)874-2347,303,24.01,3,43,Rural: Remote,12.6,Regular School District,,,,,,,,
200840,AK,Yakutat School District,-140.417,60.01745,AK-50,Yakutat City and Borough,PO Box 429,Yakutat,99689,429,(907)784-3317,87,6.4,2,43,Rural: Remote,13.6,Regular School District,,,,,,,,
200775,AK,Yukon Flats School District,-145.259,66.71969,AK-51,Yukon-Koyukuk Census Area,PO Box 350,Fort Yukon,99740,350,(907)662-2515,217,24,7,43,Rural: Remote,9,Regular School District,,,,,,,,
200862,AK,Yukon-Koyukuk School District,-154.325,65.63448,AK-52,Fairbanks North Star Borough,4762 Old Airport Way,Fairbanks,99709,4456,(907)374-9416,1982,52.18,11,23,Suburb: Small,38,Regular School District,,,,,,,,
200004,AK,Yupiit School District,-161.419,60.89563,AK-54,Bethel Census Area,PO Box 51190,Akiachak,99551,190,(907)825-3600,437,32.85,3,43,Rural: Remote,13.3,Regular School District,,,,,,,,
100009,AL,Al Inst Deaf And Blind,-86.10269,33.43451,AL-600,Talladega County,PO Box 698,Talladega,35161,698,(256)761-3200,<Null>,0,5,32,Town: Distant,<Null>,Regular School District,,,,,,,,
100018,AL,Alabama School of Fine Arts,-86.813096,33.521224,AL-207,Jefferson County,1800 Rev Abraham Woods Jr Blvd,Birmingham,35203,<Null>,(205)252-9241,<Null>,0,0,12,City: Midsize,<Null>,Regular School District,,,,,,,,
100002,AL,Alabama Youth Services,-86.09341,32.36545,AL-210,Jefferson County,PO Box 66,Mount Meigs,36057,66,(334)215-3859,<Null>,0,0,21,Suburb: Large,<Null>,Regular School District,,,,,,,,
100190,AL,Alabaster City,-86.82417,33.226114,AL-103,Shelby County,10111 Highway 119,Alabaster,35007,<Null>,(205)663-8400,6184,341.85,5,21,Suburb: Large,18.1,Regular School District,,,,,,,,
100005,AL,Albertville City,-86.20939,34.268086,AL-101,Marshall County,107 W Main St,Albertville,35950,1625,(256)891-1183,5636,295.5,6,32,Town: Distant,19.1,Regular School District,,,,,,,,
100030,AL,Alexander City,-85.958438,32.94113,AL-102,Tallapoosa County,375 Lee St,Alexander City,35010,2708,(256)234-5074,3065,176.52,5,32,Town: Distant,17.4,Regular School District,,,,,,,,
100060,AL,Andalusia City,-86.483488,31.327783,AL-104,Covington County,1201 C C Baker Avenue,Andalusia,36421,2101,(334)222-3186,1794,98.24,3,33,Town: Remote,18.3,Regular School District,,,,,,,,
100090,AL,Anniston City,-85.8265,33.65876,AL-105,Calhoun County,PO Box 1500,Anniston,36202,1500,(256)231-5000,1947,110.5,7,13,City: Small,17.6,Regular School District,,,,,,,,
100100,AL,Arab City,-86.488256,34.327719,AL-106,Marshall County,750 Arabian Dr NE,Arab,35016,1161,(256)586-6011,2632,160.9,4,41,Rural: Fringe,16.4,Regular School District,,,,,,,,
100120,AL,Athens City,-86.946778,34.81388,AL-107,Limestone County,455 US Highway 31 North,Athens,35611,2653,(256)233-6600,4284,213.26,8,31,Town: Fringe,20.1,Regular School District,,,,,,,,
100180,AL,Attalla City,-86.108227,33.998694,AL-109,Etowah County,101 Case Ave,Attalla,35954,3404,(256)459-7017,1526,94,3,23,Suburb: Small,16.2,Regular School District,,,,,,,,
100210,AL,Auburn City,-85.47712,32.61253,AL-110,Lee County,PO Box 3270,Auburn,36831,3270,(334)887-2100,8738,499,13,13,City: Small,17.5,Regular School District,,,,,,,,
100240,AL,Autauga County,-86.473537,32.462911,AL-001,Autauga County,153 W 4th St,Prattville,36067,3011,(334)365-5706,9094,490,15,41,Rural: Fringe,18.6,Regular School District,,,,,,,,
100270,AL,Baldwin County,-87.787828,30.912007,AL-002,Baldwin County,2600 North Hand Ave,Bay Minette,36507,4180,(251)937-0308,32267,1790.2,44,41,Rural: Fringe,18,Regular School District,,,,,,,,
100300,AL,Barbour County,-85.447909,31.87729,AL-003,Barbour County,PO Box 429,Clayton,36016,429,(334)367-8280,755,45,3,43,Rural: Remote,16.8,Regular School District,,,,,,,,
100330,AL,Bessemer City,-86.96125,33.39503,AL-113,Jefferson County,PO Box 1230,Bessemer,35021,1230,(205)432-3000,3618,184.5,9,21,Suburb: Large,19.6,Regular School District,,,,,,,,
100360,AL,Bibb County,-87.124181,32.945928,AL-004,Bibb County,721 Walnut Street,Centreville,35042,2277,(205)926-9881,3236,183.25,9,32,Town: Distant,17.7,Regular School District,,,,,,,,
100390,AL,Birmingham City,-86.80192,33.51961,AL-114,Jefferson County,PO Box 10007,Birmingham,35202,7,(205)231-4220,23041,1250.33,51,12,City: Midsize,18.4,Regular School District,,,,,,,,
100420,AL,Blount County,-86.47434,33.945305,AL-005,Blount County,PO Box 578,Oneonta,35121,7,(205)775-1950,7651,437.48,17,42,Rural: Distant,17.5,Regular School District,,,,,,,,
100012,AL,Boaz City,-86.15989,34.212847,AL-115,Marshall County,126 Newt Parker Dr,Boaz,35957,<Null>,(256)593-8180,2427,137.33,5,32,Town: Distant,17.7,Regular School District,,,,,,,,
100450,AL,Brewton City,-87.07236,31.11757,AL-116,Escambia County,811 Belleville Ave,Brewton,36426,1754,(251)867-8400,1133,70.84,3,32,Town: Distant,16,Regular School District,,,,,,,,
100480,AL,Bullock County,-85.71344,32.145205,AL-006,Bullock County,PO Box 231,Union Springs,36089,231,(334)513-1416,1438,84,4,32,Town: Distant,17.1,Regular School District,,,,,,,,
100510,AL,Butler County,-86.628683,31.815256,AL-007,Butler County,211 School Highlands Rd,Greenville,36037,3213,(334)382-2665,3015,153.5,7,32,Town: Distant,19.6,Regular School District,,,,,,,,
100540,AL,Calhoun County,-85.8265,33.65876,AL-008,Calhoun County,PO Box 2084,Anniston,36202,2084,(256)741-7400,8548,489,19,41,Rural: Fringe,17.5,Regular School District,,,,,,,,
100600,AL,Chambers County,-85.39988,32.897519,AL-009,Chambers County,Box 408,Lafayette,36862,408,(334)864-9343,3545,206.11,11,32,Town: Distant,17.2,Regular School District,,,,,,,,
100630,AL,Cherokee County,-85.67843,34.151744,AL-010,Cherokee County,130 E Main St,Centre,35960,1599,(256)927-3362,3934,235.03,8,42,Rural: Distant,16.7,Regular School District,,,,,,,,
100188,AL,Chickasaw City,-88.083642,30.766337,AL-121,Mobile County,P O Box 11493,Chickasaw,36611,<Null>,(251)452-2256,1154,56.4,3,21,Suburb: Large,20.5,Regular School District,,,,,,,,
100660,AL,Chilton County,-86.621652,32.868585,AL-011,Chilton County,1705 Lay Dam Rd,Clanton,35045,2032,(205)280-3000,7837,415.73,14,42,Rural: Distant,18.9,Regular School District,,,,,,,,
100690,AL,Choctaw County,-88.233042,32.079642,AL-012,Choctaw County,107 Tom Orr Dr,Butler,36904,3504,(205)459-3031,1300,76,4,43,Rural: Remote,17.1,Regular School District,,,,,,,,
100720,AL,Clarke County,-87.772135,31.705365,AL-013,Clarke County,Box 936,Grove Hill,36451,936,(251)250-2155,2460,148.8,7,43,Rural: Remote,16.5,Regular School District,,,,,,,,
100750,AL,Clay County,-85.839,33.27348,AL-014,Clay County,PO Box 278,Ashland,36251,278,(256)396-1475,1868,106.37,4,42,Rural: Distant,17.6,Regular School District,,,,,,,,
100780,AL,Cleburne County,-85.57528,33.64831,AL-015,Cleburne County,PO Box 8,Heflin,36264,2207,(256)463-5624,2512,152.8,9,42,Rural: Distant,16.4,Regular School District,,,,,,,,
100810,AL,Coffee County,-86.056396,31.410123,AL-016,Coffee County,400 Reddoch Hill Rd,Elba,36323,1661,(334)897-5016,2388,127.08,4,42,Rural: Distant,18.8,Regular School District,,,,,,,,
100840,AL,Colbert County,-87.68671,34.71607,AL-017,Colbert County,P O Box 538,Tuscumbia,35674,4563,(256)386-8565,2668,172.57,8,41,Rural: Fringe,15.5,Regular School District,,,,,,,,
100870,AL,Conecuh County,-86.969606,31.454859,AL-018,Conecuh County,1455 Ted Bates Road,Evergreen,36401,2843,(251)578-1752,1941,77.5,8,41,Rural: Fringe,25,Regular School District,,,,,,,,
100900,AL,Coosa County,-86.218155,32.889594,AL-019,Coosa County,PO Box 37,Rockford,35136,37,(256)377-4913,857,51.19,3,43,Rural: Remote,16.7,Regular School District,,,,,,,,
100930,AL,Covington County,-86.481402,31.321522,AL-020,Covington County,807 C C Baker Ave,Andalusia,36421,2137,(334)222-7571,3082,193.97,9,42,Rural: Distant,15.9,Regular School District,,,,,,,,
100960,AL,Crenshaw County,-86.26627,31.70923,AL-021,Crenshaw County,183 Votec Dr,Luverne,36049,1705,(334)335-6519,2248,132,4,43,Rural: Remote,17,Regular School District,,,,,,,,
100990,AL,Cullman City,-86.840652,34.179101,AL-125,Cullman County,301 1st St NE,Cullman,35055,3542,(256)775-5803,3201,177.05,7,32,Town: Distant,18.1,Regular School District,,,,,,,,
101020,AL,Cullman County,-86.84792,34.17033,AL-022,Cullman County,PO Box 1590,Cullman,35056,1590,(256)734-2933,9468,531.9,28,42,Rural: Distant,17.8,Regular School District,,,,,,,,
101050,AL,Dale County,-85.619269,31.425394,AL-023,Dale County,202 S Hwy 123 Suite E,Ozark,36360,<Null>,(334)774-2355,3189,174.87,8,42,Rural: Distant,18.2,Regular School District,,,,,,,,
101080,AL,Daleville City,-85.711139,31.315593,AL-126,Dale County,626 N Daleville Ave,Daleville,36322,2006,(334)598-2456,1087,60.84,2,32,Town: Distant,17.9,Regular School District,,,,,,,,
101110,AL,Dallas County,-87.02282,32.41279,AL-024,Dallas County,PO Box 1056,Selma,36702,1056,(334)875-3440,3027,189,12,42,Rural: Distant,16,Regular School District,,,,,,,,
101170,AL,Decatur City,-86.98205,34.605873,AL-127,Morgan County,302 4th Ave NE,Decatur,35601,1972,(256)552-3000,8699,542.5,20,13,City: Small,16,Regular School District,,,,,,,,
101140,AL,DeKalb County,-85.84206,34.50092,AL-025,DeKalb County,PO Box 1668,Rainsville,35986,1668,(256)638-6921,8835,553.64,16,42,Rural: Distant,16,Regular School District,,,,,,,,
101200,AL,Demopolis City,-87.835195,32.51412,AL-128,Marengo County,PO Drawer 759,Demopolis,36732,759,(334)289-1670,2216,133.61,4,33,Town: Remote,16.6,Regular School District,,,,,,,,
101230,AL,Dothan City,-85.435123,31.204963,AL-130,Houston County,1665 Honeysuckle Road,DOTHAN,36305,2500,(334)793-1397,8967,481,16,13,City: Small,18.6,Regular School District,,,,,,,,
101260,AL,Elba City,-86.101899,31.42302,AL-131,Coffee County,131 Tiger Dr,Elba,36323,4025,(334)897-2801,622,39,3,43,Rural: Remote,15.9,Regular School District,,,,,,,,
101290,AL,Elmore County,-86.23195,32.56369,AL-026,Elmore County,100 H H Robison Dr,Wetumpka,36092,5701,(334)567-1200,11433,597,15,21,Suburb: Large,19.2,Regular School District,,,,,,,,
101320,AL,Enterprise City,-85.85462,31.31516,AL-132,Coffee County,PO Box 311790,Enterprise,36331,1790,(334)347-9531,6723,348,10,32,Town: Distant,19.3,Regular School District,,,,,,,,
101350,AL,Escambia County,-87.07168,31.10441,AL-027,Escambia County,PO Box 307,Brewton,36427,307,(251)867-6251,4234,262.6,12,32,Town: Distant,16.1,Regular School District,,,,,,,,
101380,AL,Etowah County,-86.055559,34.022263,AL-028,Etowah County,3200 W Meighan Blvd,Gadsden,35904,1732,(256)549-7560,8486,505.23,24,23,Suburb: Small,16.8,Regular School District,,,,,,,,
101410,AL,Eufaula City,-85.151312,31.868273,AL-133,Barbour County,333 State Docks Rd,Eufaula,36027,3317,(334)687-1100,5427,148.5,6,32,Town: Distant,36.5,Regular School District,,,,,,,,
101440,AL,Fairfield City,-86.915172,33.47442,AL-137,Jefferson County,6405 Avenue D,Fairfield,35064,110,(205)783-6850,1549,77.31,6,21,Suburb: Large,20,Regular School District,,,,,,,,
101470,AL,Fayette County,-87.83249,33.689365,AL-029,Fayette County,PO Box 686,Fayette,35555,686,(205)932-4611,2302,134.6,6,42,Rural: Distant,17.1,Regular School District,,,,,,,,
101530,AL,Florence City,-87.67545,34.802035,AL-141,Lauderdale County,P O Box 10,Florence,35631,<Null>,(256)768-3000,4254,265.35,9,13,City: Small,16,Regular School District,,,,,,,,
101560,AL,Fort Payne City,-85.76957,34.48327,AL-143,DeKalb County,PO Box 681029,Fort Payne,35968,1611,(256)845-0915,3249,185.35,4,32,Town: Distant,17.5,Regular School District,,,,,,,,
101590,AL,Franklin County,-87.72888,34.50779,AL-030,Franklin County,PO Box 610,Russellville,35653,610,(256)332-1360,3674,233.27,10,42,Rural: Distant,15.7,Regular School District,,,,,,,,
101620,AL,Gadsden City,-86.008805,34.014035,AL-144,Etowah County,PO Box 184,Gadsden,35902,184,(256)543-3512,5194,312.74,15,13,City: Small,16.6,Regular School District,,,,,,,,
101640,AL,Geneva City,-85.879262,31.042513,AL-146,Geneva County,511 Panther Dr,Geneva,36340,1407,(334)684-1090,1249,83,3,32,Town: Distant,15,Regular School District,,,,,,,,
101660,AL,Geneva County,-85.879952,31.044267,AL-031,Geneva County,PO Box 250,Geneva,36340,250,(334)684-5690,2750,156,10,42,Rural: Distant,17.6,Regular School District,,,,,,,,
101680,AL,Greene County,-87.88918,32.841086,AL-032,Greene County,220 Main St,Eutaw,35462,1002,(205)372-4900,1054,64.5,5,42,Rural: Distant,16.3,Regular School District,,,,,,,,
100202,AL,Gulf Shores City,-87.688785,30.27452,AL-152,<Null>,PO Box 3908,Gulf Shores,36547,<Null>,(251)968-9873,<Null>,<Null>,3,<Null>,<Null>,<Null>,Regular School District,,,,,,,,
101690,AL,Guntersville City,-86.304075,34.34915,AL-154,Marshall County,PO Box 129,Guntersville,35976,129,(256)582-3159,1871,109,4,32,Town: Distant,17.2,Regular School District,,,,,,,,
101710,AL,Hale County,-87.593801,32.707324,AL-033,Hale County,1115 Powers St,Greensboro,36744,1219,(334)624-8836,2488,135.5,7,31,Town: Fringe,18.4,Regular School District,,,,,,,,
101720,AL,Haleyville City,-87.608012,34.226182,AL-155,Winston County,2011 20th St,Haleyville,35565,1959,(205)486-9231,1619,100.95,4,41,Rural: Fringe,16,Regular School District,,,,,,,,
101730,AL,Hartselle City,-86.931374,34.446424,AL-156,Morgan County,305 College St NE,Hartselle,35640,1938,(256)773-5419,3469,210.22,6,23,Suburb: Small,16.5,Regular School District,,,,,,,,
101740,AL,Henry County,-85.251934,31.567531,AL-034,Henry County,300 N Trawick St,Abbeville,36310,<Null>,(334)585-2206,2466,142,6,42,Rural: Distant,17.4,Regular School District,,,,,,,,
101760,AL,Homewood City,-86.808326,33.477141,AL-157,Jefferson County,450 Dale Avenue,Homewood,35209,3401,(205)870-4203,4292,300.02,5,21,Suburb: Large,14.3,Regular School District,,,,,,,,
100007,AL,Hoover City,-86.765964,33.406586,AL-158,Jefferson County,2810 Metropolitan Way,Birmingham,35243,2944,(205)439-1015,13952,943.68,18,13,City: Small,14.8,Regular School District,,,,,,,,
101770,AL,Houston County,-85.396699,31.220717,AL-035,Houston County,404 W Washington St,Dothan,36301,2540,(334)792-8331,6418,359.25,12,41,Rural: Fringe,17.9,Regular School District,,,,,,,,
101800,AL,Huntsville City,-86.61621,34.72007,AL-159,Madison County,PO Box 1256,Huntsville,35807,4801,(256)428-6810,23993,1433.57,46,12,City: Midsize,16.7,Regular School District,,,,,,16,16,https://www.huntsvillecityschools.org/reset-plan/general-information/covid-19-facility-impact-reports
101830,AL,Jackson County,-86.033305,34.66737,AL-036,Jackson County,PO Box 490,Scottsboro,35768,490,(256)259-9500,5337,308.39,18,42,Rural: Distant,17.3,Regular School District,,,,,,,,
101860,AL,Jacksonville City,-85.76527,33.814784,AL-162,Calhoun County,123 College St SW,Jacksonville,36265,2165,(256)782-5682,1622,96.5,2,13,City: Small,16.8,Regular School District,,,,,,,,
101890,AL,Jasper City,-87.277625,33.83424,AL-163,Walker County,PO Box 500,Jasper,35502,500,(205)384-6880,2754,159.6,5,32,Town: Distant,17.3,Regular School District,,,,,,,,
101920,AL,Jefferson County,-86.792646,33.487006,AL-037,Jefferson County,2100 18th St S,Birmingham,35209,1891,(205)379-2000,36246,2014.06,58,21,Suburb: Large,18,Regular School District,,,,,,,,
101950,AL,Lamar County,-88.1065,33.7538,AL-038,Lamar County,PO Box 1379,Vernon,35592,1379,(205)695-7615,2290,132.94,5,43,Rural: Remote,17.2,Regular School District,,,,,,,,
101980,AL,Lanett City,-85.191231,32.868201,AL-165,Chambers County,105 North Lanier Ave,Lanett,36863,2013,(334)644-5900,925,54.75,3,32,Town: Distant,16.9,Regular School District,,,,,,,,
